                  Words      Mean #Total #Positive #Neg   PosMean   NegMean
98               hidden  0.019499      1         1    0  0.019499  0.000000
420             example  0.019199      1         1    0  0.019199  0.000000
42         contribution -0.018702      9         6    3  0.046356 -0.148817
187                  on  0.018469      2         2    0  0.018469  0.000000
99               design -0.017766      1         0    1  0.000000 -0.017766
26              related  0.017357      2         1    1  0.078462 -0.043749
425                side  0.017224      1         1    0  0.017224  0.000000
465              weakly  0.017200      1         1    0  0.017200  0.000000
100            insights  0.015781      1         1    0  0.015781  0.000000
128                 for  0.015579      8         4    4  0.081690 -0.050533
188            networks -0.015463      1         0    1  0.000000 -0.015463
156                  in -0.015387      5         1    4  0.060914 -0.034462
45                  due  0.014964      1         1    0  0.014964  0.000000
325                  an -0.013652      2         1    1  0.010423 -0.037726
166               could -0.013534      3         1    2  0.067362 -0.053982
208            proposed  0.012214      3         2    1  0.041095 -0.045548
371           consensus -0.011955      1         0    1  0.000000 -0.011955
46                 seem -0.011843      1         0    1  0.000000 -0.011843
323            baseline  0.011099      1         1    0  0.011099  0.000000
324              policy  0.010432      1         1    0  0.010432  0.000000
326          restaurant  0.010384      1         1    0  0.010384  0.000000
67           evaluation  0.010222      7         5    2  0.049833 -0.088806
327             chatbot  0.009999      1         1    0  0.009999  0.000000
379                form -0.009600      2         1    1  0.026129 -0.045330
328              people  0.009252      1         1    0  0.009252  0.000000
329        improvements  0.009203      1         1    0  0.009203  0.000000
330              Amazon  0.009168      1         1    0  0.009168  0.000000
244          manuscript  0.009110      1         1    0  0.009110  0.000000
331            probably -0.009016      1         0    1  0.000000 -0.009016
332                Turk  0.008752      1         1    0  0.008752  0.000000
333              labels  0.008515      1         1    0  0.008515  0.000000
334          likelihood  0.008445      1         1    0  0.008445  0.000000
335             seq2seq  0.008146      1         1    0  0.008146  0.000000
218                 has  0.008135      2         1    1  0.050112 -0.033842
37              novelty  0.005105      3         2    1  0.029925 -0.044536
186            presents -0.004050      3         2    1  0.030590 -0.073329
336               still -0.004032      1         0    1  0.000000 -0.004032
373        experimental  0.003147      1         1    0  0.003147  0.000000
58                 that -0.002891     10         4    6  0.047572 -0.036532
2                    to  0.002468     17        10    7  0.049073 -0.064110
374               among -0.002330      1         0    1  0.000000 -0.002330
199                  as -0.002145      2         1    1  0.044443 -0.048733
71                   it  0.001583      5         2    3  0.080821 -0.051243
